ARG	feature	score_RF	score_Odds
K19077	K05808	1.0297699674338781e-16	0.1445671439227586
K19077	K05810	7.97088995010729e-07	0.1444107372318797
K19077	K05813	2.775804861308501e-06	-0.2599599973522472
K19077	K05816	0.0004641390559499	-0.1940533549629057
K19077	K05832	0.006827372090937	1.1881597542867266
K19077	K05838	2.455462753353164e-05	-0.6628281841339954
K19077	K05844	2.7167017620791763e-16	-0.2606850591045755
K19077	K05845	0.0004436993064168	-0.6558757987117315
K19077	K05881	7.293686207109472e-06	-0.0937681722749707
K19077	K05921	2.067773220181182e-16	-0.1442529021935038
K19077	K05973	3.71311932577218e-16	-0.09472026612205
K19077	K05979	2.9734533710421334e-08	-0.1635187796750558
K19077	K05989	0.000156687587603	-0.126716376207478
K19077	K06023	0.0001454675931021	0.8039247926977029
K19077	K06041	0.0005471393877287	-0.8106416789998132
K19077	K06076	2.3908038229871392e-05	-0.583049918291033
K19077	K06132	0.0251319306512665	1.0935929874871797
K19077	K06134	5.136590227368237e-16	-0.12180635015981
K19077	K06136	1.5460231670010948e-16	-0.0581142771441659
K19077	K06137	3.402391049515001e-16	-0.1032347358252037
K19077	K06140	6.043929337952607e-16	-0.2445304608036875
K19077	K06142	0.0002940422388699	-0.7419479964612661
K19077	K06143	4.749361416207098e-16	-0.0711429190398412
K19077	K06145	1.0807290147007884e-16	-0.1030732483770068
K19077	K06152	4.0820990278619997e-16	-0.0443555186118063
K19077	K06167	2.600209629660641e-05	-0.4533205836836828
K19077	K06169	6.775982664200726e-16	-0.1505937412038756
K19077	K06177	3.849118396738355e-16	-0.4521376982606009
K19077	K06182	0.0054640830162282	1.0009349997217134
K19077	K06183	0.0025742089218974	1.0949117838344242
K19077	K06190	8.191659987432794e-16	-0.3822000550369808
K19077	K06192	1.9788028329248823e-16	-0.1611160606974891
K19077	K06194	0.0001085620757378	-0.5618987049116908
K19077	K06200	0.0009921598205522	0.7918615964599989
K19077	K06203	8.078368041333955e-16	-0.4575993192251603
K19077	K06374	0.0060449014173224	1.1552751350354828
K19077	K06413	0.0034817254953185	0.5247843499707114
K19077	K06518	0.0015228435422807	0.8888676179434374
K19077	K06726	0.0001172624740738	-0.0761433059074457
